"vendita_sk","cliente_sk","prodotto_sk","data_sk","spedizione_sk","quantita","ordine_id","prezzo_unitario","sconto","ricavi"
104,14388,28,1821,53,1,55,"528.07","0.00","528.07"
105,14388,24,1821,53,1,55,"519.26","0.00","519.26"
106,11869,35,2062,54,1,56,"1082.98","0.00","1082.98"
107,11869,17,2062,54,2,56,"632.68","0.00","1265.36"
108,11869,25,2062,54,1,56,"835.67","0.00","835.67"
109,5172,30,1609,55,1,57,"1484.42","0.00","1484.42"
110,18442,35,1570,56,2,58,"1082.98","0.00","2165.96"
111,933,19,1803,57,1,59,"1143.41","0.00","1143.41"
112,10569,20,1651,58,2,60,"922.14","0.00","1844.28"
113,19991,27,2033,59,1,61,"1315.30","5.00","1249.54"
114,19991,22,2033,59,2,61,"70.60","0.00","141.20"
115,19991,16,2033,59,2,61,"246.85","0.00","493.70"
116,19991,13,2033,59,2,61,"1104.74","0.00","2209.48"
117,5126,26,1824,60,2,62,"909.52","0.00","1819.04"
118,16524,31,1441,61,2,63,"110.61","0.00","221.22"
119,16524,13,1441,61,1,63,"1104.74","15.00","939.03"
120,16524,30,1441,61,1,63,"1484.42","0.00","1484.42"
121,893,33,1445,62,1,64,"73.31","0.00","73.31"
122,893,21,1445,62,3,64,"62.01","5.00","176.73"
123,893,22,1445,62,1,64,"70.60","0.00","70.60"
124,893,1,1445,62,1,64,"859.64","15.00","730.69"
125,893,4,1445,62,2,64,"855.56","5.00","1625.56"
126,14466,10,2120,63,1,65,"853.01","0.00","853.01"
127,14466,26,2120,63,1,65,"909.52","0.00","909.52"
128,2570,30,1526,64,1,66,"1484.42","0.00","1484.42"
129,10346,30,2014,65,3,67,"1484.42","5.00","4230.60"
130,10346,3,2014,65,1,67,"1172.87","0.00","1172.87"
131,73,31,1780,66,1,68,"110.61","0.00","110.61"
132,788,27,2121,67,1,69,"1315.30","0.00","1315.30"
133,788,29,2121,67,1,69,"998.86","0.00","998.86"
134,788,12,2121,67,1,69,"1303.57","0.00","1303.57"
135,10932,10,1719,68,3,70,"853.01","5.00","2431.08"
136,10932,8,1719,68,1,70,"1163.68","0.00","1163.68"
137,10932,19,1719,68,1,70,"1143.41","0.00","1143.41"
138,17341,17,1824,69,1,71,"632.68","10.00","569.41"
139,17341,33,1824,69,1,71,"73.31","5.00","69.64"
140,12933,26,1446,70,1,72,"909.52","0.00","909.52"
141,10720,29,1456,71,1,73,"998.86","5.00","948.92"
142,17472,2,1704,72,2,74,"445.08","10.00","801.14"
143,17472,35,1704,72,1,74,"1082.98","0.00","1082.98"
144,15488,19,1583,73,2,75,"1143.41","0.00","2286.82"
145,9928,34,1944,74,1,76,"364.11","0.00","364.11"
146,12531,2,1836,75,1,77,"445.08","5.00","422.83"
147,12531,18,1836,75,1,77,"209.45","0.00","209.45"
148,18145,26,1500,76,2,78,"909.52","0.00","1819.04"
149,18145,3,1500,76,1,78,"1172.87","0.00","1172.87"
150,16588,26,1715,77,1,79,"909.52","0.00","909.52"
151,16712,15,1539,78,1,80,"223.11","0.00","223.11"
152,13336,3,2065,79,1,81,"1172.87","0.00","1172.87"
153,13336,17,2065,79,2,81,"632.68","0.00","1265.36"
154,16247,1,1615,80,1,82,"859.64","0.00","859.64"
155,14675,33,2069,81,3,83,"73.31","10.00","197.94"
156,584,7,1876,82,1,84,"407.07","0.00","407.07"
157,8557,29,1848,83,1,85,"998.86","0.00","998.86"
158,19448,11,2070,84,1,86,"1158.25","5.00","1100.34"
159,19448,23,2070,84,2,86,"1284.93","0.00","2569.86"
160,19448,32,2070,84,1,86,"225.07","0.00","225.07"
161,14790,6,1538,85,1,87,"1004.53","0.00","1004.53"
162,14790,22,1538,85,1,87,"70.60","10.00","63.54"
163,8274,17,2004,86,1,88,"632.68","0.00","632.68"
164,16392,27,1632,87,1,89,"1315.30","5.00","1249.54"
165,16392,19,1632,87,1,89,"1143.41","10.00","1029.07"
166,16392,24,1632,87,2,89,"519.26","15.00","882.74"
167,16392,17,1632,87,2,89,"632.68","0.00","1265.36"
168,4425,13,1453,88,1,90,"1104.74","0.00","1104.74"
169,4425,29,1453,88,1,90,"998.86","0.00","998.86"
170,15921,17,2000,89,2,91,"632.68","10.00","1138.82"
171,11545,25,1502,90,1,92,"835.67","0.00","835.67"
172,4027,1,2122,91,1,93,"859.64","0.00","859.64"
173,218,4,1472,92,2,94,"855.56","5.00","1625.56"
174,218,33,1472,92,1,94,"73.31","0.00","73.31"
175,12822,12,1691,93,1,95,"1303.57","15.00","1108.03"
176,12822,14,1691,93,1,95,"1113.24","0.00","1113.24"
177,5068,28,1935,94,1,96,"528.07","10.00","475.26"
178,5068,29,1935,94,1,96,"998.86","0.00","998.86"
179,12610,19,1978,95,1,97,"1143.41","0.00","1143.41"
180,12610,10,1978,95,1,97,"853.01","0.00","853.01"
181,12610,18,1978,95,1,97,"209.45","10.00","188.51"
182,19777,15,2091,96,1,98,"223.11","10.00","200.80"
183,19777,26,2091,96,1,98,"909.52","0.00","909.52"
184,6764,22,1735,97,1,99,"70.60","15.00","60.01"
185,6764,16,1735,97,1,99,"246.85","0.00","246.85"
186,3141,35,1533,98,1,100,"1082.98","0.00","1082.98"
187,3141,1,1533,98,1,100,"859.64","10.00","773.68"
188,11973,16,1589,99,1,101,"246.85","0.00","246.85"
189,10405,28,1719,100,1,102,"528.07","10.00","475.26"
190,10405,1,1719,100,1,102,"859.64","0.00","859.64"
191,13448,20,1456,101,1,103,"922.14","15.00","783.82"
192,13448,32,1456,101,1,103,"225.07","5.00","213.82"
193,13448,9,1456,101,1,103,"1425.18","5.00","1353.92"
194,4109,21,1726,102,2,104,"62.01","10.00","111.62"
195,17153,23,2127,103,2,105,"1284.93","0.00","2569.86"
196,17153,12,2127,103,1,105,"1303.57","15.00","1108.03"
197,12824,8,1873,104,3,106,"1163.68","0.00","3491.04"
198,12824,19,1873,104,1,106,"1143.41","0.00","1143.41"
199,12824,3,1873,104,3,106,"1172.87","0.00","3518.61"
200,12824,29,1873,104,1,106,"998.86","0.00","998.86"
201,5081,26,2145,105,1,107,"909.52","5.00","864.04"
202,5081,12,2145,105,3,107,"1303.57","15.00","3324.10"
203,5081,3,2145,105,1,107,"1172.87","0.00","1172.87"
204,17356,15,1985,106,1,108,"223.11","10.00","200.80"
205,5667,21,1563,107,1,109,"62.01","0.00","62.01"
206,5667,17,1563,107,1,109,"632.68","5.00","601.05"
207,9557,20,1933,108,1,110,"922.14","0.00","922.14"
208,9557,24,1933,108,1,110,"519.26","0.00","519.26"
209,14042,34,1778,109,1,111,"364.11","0.00","364.11"
210,14042,16,1778,109,3,111,"246.85","5.00","703.52"
211,17831,32,1956,110,1,112,"225.07","15.00","191.31"
212,14543,15,1463,111,1,113,"223.11","0.00","223.11"
213,14543,24,1463,111,1,113,"519.26","10.00","467.33"
214,14543,33,1463,111,1,113,"73.31","0.00","73.31"
215,10237,13,1986,112,1,114,"1104.74","0.00","1104.74"
216,10237,14,1986,112,2,114,"1113.24","0.00","2226.48"
217,3097,13,1931,113,1,116,"1104.74","5.00","1049.50"
218,3097,7,1931,113,1,116,"407.07","5.00","386.72"
219,3097,1,1931,113,1,116,"859.64","0.00","859.64"
220,3097,5,1931,113,1,116,"1325.60","0.00","1325.60"
221,946,1,1936,114,1,117,"859.64","5.00","816.66"
222,946,22,1936,114,1,117,"70.60","0.00","70.60"
223,946,27,1936,114,2,117,"1315.30","20.00","2104.48"
224,14163,2,1511,115,1,118,"445.08","0.00","445.08"
225,13005,19,1988,116,1,119,"1143.41","15.00","971.90"
226,9864,22,1497,117,1,120,"70.60","0.00","70.60"
227,11400,30,1498,118,2,121,"1484.42","0.00","2968.84"
228,13142,31,1985,119,3,122,"110.61","0.00","331.83"
229,8622,20,1985,120,1,123,"922.14","0.00","922.14"
230,8622,24,1985,120,1,123,"519.26","0.00","519.26"
231,8622,27,1985,120,1,123,"1315.30","5.00","1249.54"
232,18,21,1438,121,1,124,"62.01","0.00","62.01"
233,4006,26,1873,122,1,125,"909.52","0.00","909.52"
234,4006,6,1873,122,2,125,"1004.53","0.00","2009.06"
235,4006,30,1873,122,1,125,"1484.42","0.00","1484.42"
236,4006,2,1873,122,1,125,"445.08","10.00","400.57"
237,14912,31,1424,123,1,126,"110.61","0.00","110.61"
238,14912,25,1424,123,1,126,"835.67","5.00","793.89"
239,14912,23,1424,123,2,126,"1284.93","15.00","2184.38"
240,14912,28,1424,123,2,126,"528.07","0.00","1056.14"
241,14343,5,1962,124,2,127,"1325.60","0.00","2651.20"
242,14343,8,1962,124,1,127,"1163.68","0.00","1163.68"
243,14343,27,1962,124,3,127,"1315.30","5.00","3748.61"
244,10391,10,1989,125,1,128,"853.01","10.00","767.71"
245,10391,18,1989,125,1,128,"209.45","10.00","188.51"
246,10391,34,1989,125,2,128,"364.11","0.00","728.22"
247,10391,9,1989,125,1,128,"1425.18","0.00","1425.18"
248,19583,10,1698,126,2,129,"853.01","0.00","1706.02"
249,19583,16,1698,126,1,129,"246.85","0.00","246.85"
250,19583,18,1698,126,1,129,"209.45","0.00","209.45"
251,3230,21,1430,127,1,130,"62.01","0.00","62.01"
252,6986,15,1983,128,1,131,"223.11","5.00","211.95"
253,6986,19,1983,128,1,131,"1143.41","5.00","1086.24"
254,1492,21,1535,129,1,132,"62.01","0.00","62.01"
255,1492,29,1535,129,1,132,"998.86","5.00","948.92"
256,10575,32,1436,130,2,133,"225.07","0.00","450.14"
257,10575,20,1436,130,1,133,"922.14","0.00","922.14"
258,19759,24,1807,131,2,134,"519.26","0.00","1038.52"
259,19759,10,1807,131,1,134,"853.01","5.00","810.36"
260,18466,8,1704,132,1,135,"1163.68","5.00","1105.50"
261,18466,34,1704,132,1,135,"364.11","0.00","364.11"
262,18466,21,1704,132,1,135,"62.01","0.00","62.01"
263,18466,26,1704,132,1,135,"909.52","5.00","864.04"
264,18695,10,2104,133,1,136,"853.01","0.00","853.01"
265,5634,6,1459,134,2,137,"1004.53","0.00","2009.06"
266,5634,23,1459,134,1,137,"1284.93","5.00","1220.68"
267,850,4,1671,135,1,138,"855.56","0.00","855.56"
268,850,26,1671,135,1,138,"909.52","15.00","773.09"
269,850,33,1671,135,2,138,"73.31","0.00","146.62"
270,4867,6,1788,136,1,139,"1004.53","0.00","1004.53"
271,7019,28,2039,137,1,140,"528.07","5.00","501.67"
272,7019,8,2039,137,3,140,"1163.68","0.00","3491.04"
273,7019,12,2039,137,1,140,"1303.57","5.00","1238.39"
274,16119,7,1783,138,1,141,"407.07","0.00","407.07"
275,14395,24,1670,139,1,142,"519.26","0.00","519.26"
276,16010,15,1681,140,1,144,"223.11","0.00","223.11"
277,16010,34,1681,140,3,144,"364.11","5.00","1037.71"
278,10507,16,2146,141,1,145,"246.85","0.00","246.85"
279,10507,14,2146,141,1,145,"1113.24","0.00","1113.24"
280,18900,19,1475,142,1,146,"1143.41","10.00","1029.07"
281,18900,7,1475,142,1,146,"407.07","0.00","407.07"
282,18900,11,1475,142,1,146,"1158.25","0.00","1158.25"
283,15549,20,1719,143,1,147,"922.14","0.00","922.14"
284,15549,14,1719,143,1,147,"1113.24","0.00","1113.24"
285,15549,7,1719,143,2,147,"407.07","15.00","692.02"
286,3658,9,1555,144,1,148,"1425.18","0.00","1425.18"
287,3658,25,1555,144,1,148,"835.67","10.00","752.10"
288,7599,18,2139,145,1,149,"209.45","5.00","198.98"
289,7599,35,2139,145,1,149,"1082.98","0.00","1082.98"
290,7580,29,1806,146,1,150,"998.86","0.00","998.86"
291,7580,4,1806,146,1,150,"855.56","0.00","855.56"
292,7580,17,1806,146,1,150,"632.68","0.00","632.68"
293,11668,14,2017,147,1,151,"1113.24","0.00","1113.24"
294,11668,17,2017,147,1,151,"632.68","0.00","632.68"
295,7614,9,1999,148,1,152,"1425.18","0.00","1425.18"
296,7614,35,1999,148,1,152,"1082.98","0.00","1082.98"
297,7614,18,1999,148,1,152,"209.45","0.00","209.45"
298,13965,16,2056,149,1,153,"246.85","0.00","246.85"
299,13965,14,2056,149,1,153,"1113.24","5.00","1057.58"
300,13965,3,2056,149,1,153,"1172.87","5.00","1114.23"
301,2970,28,1651,150,1,154,"528.07","20.00","422.46"
302,19496,13,1869,151,1,155,"1104.74","0.00","1104.74"
303,276,14,1572,152,1,156,"1113.24","10.00","1001.92"
304,276,2,1572,152,1,156,"445.08","10.00","400.57"
305,15625,18,1662,153,1,157,"209.45","5.00","198.98"
306,15670,21,1830,154,2,158,"62.01","10.00","111.62"
307,15670,4,1830,154,1,158,"855.56","5.00","812.78"
308,15670,28,1830,154,1,158,"528.07","10.00","475.26"
309,794,3,1735,155,2,159,"1172.87","0.00","2345.74"
310,794,23,1735,155,3,159,"1284.93","0.00","3854.79"
311,794,31,1735,155,2,159,"110.61","0.00","221.22"
312,794,2,1735,155,1,159,"445.08","5.00","422.83"
313,14269,35,1430,156,3,160,"1082.98","0.00","3248.94"
314,14269,6,1430,156,1,160,"1004.53","0.00","1004.53"
315,14269,29,1430,156,3,160,"998.86","0.00","2996.58"
316,14269,17,1430,156,1,160,"632.68","10.00","569.41"
317,14269,19,1430,156,1,160,"1143.41","5.00","1086.24"
318,316,26,1783,157,1,161,"909.52","5.00","864.04"
319,788,6,1684,158,1,162,"1004.53","5.00","954.30"
320,788,20,1684,158,1,162,"922.14","5.00","876.03"
321,788,3,1684,158,1,162,"1172.87","0.00","1172.87"
322,8434,19,2007,159,1,163,"1143.41","0.00","1143.41"
323,12618,35,1763,160,1,164,"1082.98","0.00","1082.98"
324,12618,29,1763,160,1,164,"998.86","10.00","898.97"
325,12618,23,1763,160,1,164,"1284.93","0.00","1284.93"
326,13830,31,1912,161,1,165,"110.61","0.00","110.61"
327,13830,22,1912,161,1,165,"70.60","0.00","70.60"
328,12219,22,1983,162,1,166,"70.60","0.00","70.60"
329,2315,18,1764,163,2,167,"209.45","0.00","418.90"
330,2315,31,1764,163,1,167,"110.61","5.00","105.08"
331,7495,30,1722,164,1,168,"1484.42","0.00","1484.42"
332,8323,19,1589,165,1,169,"1143.41","5.00","1086.24"
333,8323,24,1589,165,1,169,"519.26","5.00","493.30"
334,7469,6,1876,166,2,170,"1004.53","5.00","1908.61"
335,9144,11,1578,167,1,171,"1158.25","0.00","1158.25"
336,9144,30,1578,167,1,171,"1484.42","5.00","1410.20"
337,10019,25,1469,168,2,172,"835.67","10.00","1504.21"
338,10019,22,1469,168,1,172,"70.60","0.00","70.60"
339,16487,16,1664,169,2,173,"246.85","10.00","444.33"
340,16487,31,1664,169,1,173,"110.61","0.00","110.61"
341,16487,26,1664,169,1,173,"909.52","0.00","909.52"
342,16487,27,1664,169,1,173,"1315.30","0.00","1315.30"
343,4018,20,1886,170,1,174,"922.14","0.00","922.14"
344,4018,29,1886,170,1,174,"998.86","15.00","849.03"
345,6217,9,1984,171,1,175,"1425.18","0.00","1425.18"
346,6217,22,1984,171,1,175,"70.60","10.00","63.54"
347,6217,14,1984,171,2,175,"1113.24","0.00","2226.48"
348,12281,27,1570,172,1,176,"1315.30","10.00","1183.77"
349,12281,32,1570,172,1,176,"225.07","0.00","225.07"
350,12281,3,1570,172,1,176,"1172.87","10.00","1055.58"
351,15338,2,1665,173,1,177,"445.08","0.00","445.08"
352,15338,6,1665,173,1,177,"1004.53","5.00","954.30"
353,15338,24,1665,173,1,177,"519.26","10.00","467.33"
354,15338,19,1665,173,1,177,"1143.41","10.00","1029.07"
355,8753,22,1901,174,1,178,"70.60","5.00","67.07"
356,16631,18,1550,175,1,180,"209.45","0.00","209.45"
357,16631,11,1550,175,1,180,"1158.25","5.00","1100.34"
358,16631,28,1550,175,1,180,"528.07","5.00","501.67"
359,16631,26,1550,175,1,180,"909.52","0.00","909.52"
360,19663,24,1643,176,1,181,"519.26","15.00","441.37"
361,16245,9,2095,177,1,182,"1425.18","0.00","1425.18"
362,16245,18,2095,177,1,182,"209.45","20.00","167.56"
363,19070,12,1880,178,1,183,"1303.57","0.00","1303.57"
364,19070,22,1880,178,1,183,"70.60","5.00","67.07"
365,15741,3,1873,179,1,184,"1172.87","0.00","1172.87"
366,6833,28,1829,180,1,185,"528.07","5.00","501.67"
367,12431,8,2146,181,2,186,"1163.68","0.00","2327.36"
368,12431,12,2146,181,1,186,"1303.57","0.00","1303.57"
369,12431,20,2146,181,1,186,"922.14","0.00","922.14"
370,12431,27,2146,181,1,186,"1315.30","0.00","1315.30"
371,4755,4,2111,182,3,187,"855.56","5.00","2438.35"
372,8317,13,2058,183,2,188,"1104.74","5.00","2099.01"
373,8317,14,2058,183,2,188,"1113.24","0.00","2226.48"
374,8317,31,2058,183,1,188,"110.61","0.00","110.61"
375,8317,23,2058,183,1,188,"1284.93","0.00","1284.93"
376,10634,12,1603,184,1,189,"1303.57","5.00","1238.39"
377,10634,29,1603,184,1,189,"998.86","0.00","998.86"
378,10634,31,1603,184,1,189,"110.61","0.00","110.61"
379,11551,10,1953,185,2,190,"853.01","5.00","1620.72"
380,11551,18,1953,185,1,190,"209.45","5.00","198.98"
381,18297,16,1607,186,2,191,"246.85","0.00","493.70"
382,18297,33,1607,186,2,191,"73.31","10.00","131.96"
383,5432,35,1929,187,2,192,"1082.98","0.00","2165.96"
384,5432,25,1929,187,1,192,"835.67","0.00","835.67"
385,12482,21,1615,188,1,193,"62.01","0.00","62.01"
386,8647,7,1590,189,1,194,"407.07","5.00","386.72"
387,8647,5,1590,189,1,194,"1325.60","5.00","1259.32"
388,13840,26,2091,190,1,195,"909.52","0.00","909.52"
389,2068,21,1745,191,1,196,"62.01","0.00","62.01"
390,1886,30,1572,192,1,197,"1484.42","15.00","1261.76"
391,1886,18,1572,192,1,197,"209.45","15.00","178.03"
392,1886,13,1572,192,2,197,"1104.74","20.00","1767.58"
393,14592,31,1874,193,2,198,"110.61","10.00","199.10"
394,14592,3,1874,193,1,198,"1172.87","10.00","1055.58"
395,14592,6,1874,193,1,198,"1004.53","0.00","1004.53"
396,5220,1,1867,194,1,199,"859.64","0.00","859.64"
397,13201,6,1443,195,3,200,"1004.53","0.00","3013.59"
398,15433,2,1456,196,1,201,"445.08","0.00","445.08"
399,15433,3,1456,196,1,201,"1172.87","0.00","1172.87"
400,15433,20,1456,196,1,201,"922.14","0.00","922.14"
401,4952,18,1424,197,1,202,"209.45","20.00","167.56"
402,10727,25,2084,198,1,203,"835.67","0.00","835.67"
403,10727,10,2084,198,1,203,"853.01","0.00","853.01"
404,10727,21,2084,198,1,203,"62.01","0.00","62.01"
405,16392,32,1803,199,2,204,"225.07","5.00","427.63"
406,16392,22,1803,199,1,204,"70.60","5.00","67.07"
407,16392,17,1803,199,1,204,"632.68","0.00","632.68"
408,18231,22,1708,200,2,205,"70.60","0.00","141.20"
409,18231,23,1708,200,1,205,"1284.93","0.00","1284.93"
410,8875,18,1603,201,1,206,"209.45","5.00","198.98"
411,616,3,2003,202,1,207,"1172.87","10.00","1055.58"
412,5793,29,1846,203,1,208,"998.86","0.00","998.86"
413,5793,3,1846,203,1,208,"1172.87","0.00","1172.87"
414,183,29,1495,204,1,209,"998.86","0.00","998.86"
415,183,1,1495,204,2,209,"859.64","0.00","1719.28"
416,7394,27,2033,205,1,210,"1315.30","0.00","1315.30"
417,7394,7,2033,205,1,210,"407.07","0.00","407.07"
418,14170,23,1447,206,2,211,"1284.93","0.00","2569.86"
419,14170,8,1447,206,1,211,"1163.68","0.00","1163.68"
420,14170,35,1447,206,1,211,"1082.98","0.00","1082.98"
421,14022,28,1437,207,1,212,"528.07","5.00","501.67"
422,9811,10,1586,208,1,213,"853.01","0.00","853.01"
423,6432,18,1885,209,1,214,"209.45","5.00","198.98"
424,6432,4,1885,209,1,214,"855.56","0.00","855.56"
425,6432,34,1885,209,1,214,"364.11","0.00","364.11"
426,6432,7,1885,209,1,214,"407.07","10.00","366.36"
427,17679,22,1422,210,1,215,"70.60","0.00","70.60"
428,17679,26,1422,210,1,215,"909.52","0.00","909.52"
429,17679,9,1422,210,1,215,"1425.18","0.00","1425.18"
430,13220,26,1568,211,1,216,"909.52","0.00","909.52"
431,3461,5,2027,212,1,217,"1325.60","0.00","1325.60"
432,3461,28,2027,212,2,217,"528.07","15.00","897.72"
433,3461,27,2027,212,1,217,"1315.30","0.00","1315.30"
434,4351,33,1662,213,2,218,"73.31","10.00","131.96"
435,4351,32,1662,213,1,218,"225.07","0.00","225.07"
436,4351,13,1662,213,2,218,"1104.74","0.00","2209.48"
437,14392,32,1761,214,2,219,"225.07","5.00","427.63"
438,14392,7,1761,214,1,219,"407.07","0.00","407.07"
439,14392,35,1761,214,1,219,"1082.98","0.00","1082.98"
440,16885,15,1852,215,1,220,"223.11","0.00","223.11"
441,16885,2,1852,215,2,220,"445.08","10.00","801.14"
442,16885,1,1852,215,1,220,"859.64","0.00","859.64"
443,16885,18,1852,215,1,220,"209.45","5.00","198.98"
444,8028,19,1459,216,1,221,"1143.41","5.00","1086.24"
445,1891,34,1469,217,1,222,"364.11","0.00","364.11"
446,1891,2,1469,217,1,222,"445.08","0.00","445.08"
447,10507,8,2111,218,2,223,"1163.68","0.00","2327.36"
448,10507,35,2111,218,1,223,"1082.98","15.00","920.53"
449,10507,21,2111,218,1,223,"62.01","0.00","62.01"
450,16729,11,1737,219,1,224,"1158.25","0.00","1158.25"
451,11821,8,2103,220,1,225,"1163.68","0.00","1163.68"
