House_ID,Neighborhood,Property_type,Rooms,Surface,Elevator,Floor_type,Floor_number,Outdoor_surface,Rent
102028,Castelli Romani,Flat,2,60,1,Upper,3,44.59,450
103198,Termini,Flat,3,75,1,Upper,1,329.63,1000
104904,Magliana,Flat,3,20,1,Ground floor,0,337.95,400
103987,Castelli Romani,Flat,2,65,1,Upper,2,50.40,600
105343,Monte sacro,Flat,2,40,0,Upper,7,453.64,700
102349,Parioli,Flat,4,95,0,Upper,4,530.14,1450
103463,Cinecittà,Flat,2,55,0,Upper,3,50.72,700
104995,Cassia,Flat,3,55,0,Upper,5,352.94,800
102161,Prati,Flat,3,65,0,Upper,5,633.50,1200
104799,Termini,House,3,110,1,Upper,1,481.77,1300
102602,Termini,Flat,2,50,1,Upper,2,405.21,900
103806,Parioli,Flat,2,60,0,Mezzanine,"0.5",371.59,1100
105939,Cassia,Penthouse,3,65,1,Upper,5,456.76,1200
103980,Castelli Romani,Flat,3,65,1,Upper,1,410.81,450
104399,Parioli,Flat,3,85,0,Upper,2,567.43,1200
104856,Collatino,Flat,3,80,1,Upper,8,143.53,800
102437,Piazza Navona,Flat,3,90,1,Upper,1,1133.08,1800
104020,Monte sacro,Flat,2,60,0,Upper,1,149.65,750
104196,Parioli,Flat,4,110,1,Upper,5,778.04,1600
103452,Collatino,Flat,3,70,0,Upper,8,335.08,750
103418,Parioli,Flat,2,70,0,Upper,5,400.09,1100
102701,Montagnola,Flat,2,65,1,Upper,3,350.73,900
103004,Cinecittà,Flat,2,65,0,Upper,1,254.30,750
102426,Castelli Romani,Flat,2,50,1,Upper,1,304.05,400
104318,Castelli Romani,Flat,2,85,1,Mezzanine,"0.5",147.30,600
105201,Monte sacro,Flat,2,45,1,Upper,1,102.90,650
102105,Prati,Flat,3,80,0,Ground floor,0,566.85,1300
105897,Parioli,Flat,3,85,1,Mezzanine,"0.5",747.26,1350
103507,Cinecittà,Flat,3,90,1,Upper,1,371.15,1050
105650,Termini,Flat,2,70,1,Mezzanine,"0.5",533.91,900
104315,Parioli,Flat,3,100,1,Upper,5,663.76,1600
103449,Castelli Romani,Flat,3,90,1,Upper,1,480.38,800
104810,Castelli Romani,Flat,3,110,1,Upper,1,463.17,950
104914,Infernetto,Flat,4,85,1,Upper,2,338.09,750
103293,Cinecittà,Flat,3,70,0,Upper,3,404.69,800
105832,Prati,Flat,3,150,1,Upper,3,921.02,2200
102049,Cinecittà,Flat,3,85,1,Upper,6,319.54,850
105827,Parioli,Flat,3,100,1,Mezzanine,"0.5",454.17,1550
103258,Cinecittà,Flat,2,65,0,Upper,8,73.08,800
102050,Monte sacro,Flat,3,70,1,Ground floor,0,386.43,750
105949,Cinecittà,Flat,3,90,1,Upper,3,256.09,750
102661,Prati,Flat,2,45,0,Upper,1,448.76,900
103210,Prati,Flat,2,55,0,Upper,6,474.09,1200
105699,Termini,Flat,4,95,1,Upper,5,363.75,1200
102882,Monte sacro,Flat,2,65,1,Upper,1,643.57,800
104769,Aventino,Flat,2,70,0,Upper,1,676.92,1300
103604,Parioli,Flat,2,70,0,Upper,1,479.03,1200
105513,Cassia,Flat,3,90,1,Ground floor,0,413.11,1100
104444,Cinecittà,Flat,2,60,1,Upper,6,492.02,800
102999,Parioli,Flat,3,105,1,Mezzanine,"0.5",578.25,1500
104629,Cinecittà,Flat,3,95,0,Upper,4,512.09,900
102849,Castelli Romani,Flat,3,65,1,Upper,3,294.77,500
102328,Monti,Flat,2,65,0,Upper,2,296.77,1200
103976,Montagnola,Flat,2,60,1,Upper,2,398.29,850
102984,Collatino,Flat,2,70,1,Upper,10,395.94,700
103080,Collatino,Flat,2,65,1,Upper,2,326.26,700
104540,Prati,Flat,3,90,1,Upper,4,626.51,1300
105870,Piazza Navona,Flat,4,105,0,Upper,2,1134.45,2100
103002,Monte sacro,Flat,3,100,1,Upper,4,423.16,1250
104942,Trigoria,Flat,3,55,1,Upper,1,498.89,550
103753,Collatino,Flat,3,75,1,Upper,4,294.01,750
103625,Castelli Romani,Flat,2,50,1,Ground floor,0,309.31,450
104932,Monti,Flat,2,45,0,Upper,1,217.54,1100
103885,Termini,Flat,2,60,1,Upper,2,449.36,900
104936,Castelli Romani,Flat,2,55,0,Upper,1,322.36,600
104432,Monte sacro,Flat,2,45,0,Ground floor,0,163.03,600
103556,Parioli,Flat,3,120,1,Upper,4,757.87,1600
102154,Trigoria,Flat,2,45,0,Ground floor,0,285.48,550
105492,Collatino,Flat,3,90,1,Upper,5,488.43,1000
105180,Cinecittà,Flat,3,80,1,Upper,1,346.93,700
105088,Prati,Flat,3,70,1,Upper,8,342.73,1100
105152,Parioli,Flat,2,75,1,Upper,1,372.90,1000
102254,Cassia,Flat,5,100,1,Ground floor,0,301.52,1300
104357,Monte sacro,Flat,3,55,1,Upper,1,248.82,650
102369,Parioli,Flat,5,160,1,Upper,3,987.85,2250
103602,Prati,Flat,2,50,0,Mezzanine,"0.5",456.47,900
103557,Piazza Navona,Flat,2,50,1,Upper,4,672.71,1300
104966,Infernetto,Flat,2,40,1,Ground floor,0,302.07,550
101987,Monte sacro,Flat,2,50,1,Upper,3,10.00,600
104151,Prati,Flat,4,90,1,Upper,1,625.74,1400
103407,EUR,Flat,2,50,1,Upper,4,111.35,650
104469,Piazza Navona,Flat,3,90,1,Upper,1,815.40,1750
104764,Monte sacro,Flat,4,115,1,Upper,3,477.42,1200
102493,Trigoria,Flat,2,50,1,Upper,1,81.77,500
105459,Parioli,Flat,2,65,1,Upper,1,164.95,900
105868,Parioli,Flat,3,125,1,Upper,5,982.01,1950
104962,Cinecittà,Flat,2,35,1,Ground floor,0,482.51,550
103103,Termini,Flat,3,90,1,Upper,1,452.05,1200
102079,Collatino,Flat,4,90,1,Upper,1,405.96,1000
102229,Collatino,Flat,3,75,1,Upper,8,223.39,800
104687,Trastevere,Flat,3,55,1,Upper,2,377.40,1100
102967,Parioli,Flat,6,130,1,Upper,2,646.12,1900
102063,Piazza Navona,Flat,2,60,1,Upper,1,572.26,1400
105236,Termini,Flat,3,95,1,Upper,3,481.31,1200
104229,Infernetto,Flat,3,60,1,Upper,5,186.18,550
102818,Prati,Flat,3,105,1,Upper,5,716.54,1650
103998,Piazza Navona,Flat,2,70,0,Upper,1,573.97,1500
105348,Cassia,Flat,2,35,0,Mezzanine,"0.5",365.13,400
105373,Cassia,Flat,2,50,1,Upper,1,356.90,1000
104945,Piazza Navona,Flat,2,65,0,Upper,1,594.30,1400
102183,Collatino,Flat,2,70,1,Upper,1,391.57,750
103059,Monte sacro,Flat,3,80,1,Upper,1,282.78,700
104549,Castelli Romani,Flat,4,95,1,Upper,1,323.61,750
103225,Castelli Romani,Flat,3,70,1,Upper,1,23.41,650
104915,Testaccio,Flat,2,55,1,Upper,2,277.20,850
104938,Prati,Flat,2,60,0,Upper,4,579.25,950
103280,Cinecittà,Flat,3,75,0,Upper,7,337.99,800
104716,Trastevere,Flat,3,70,1,Upper,1,583.07,1200
102299,Collatino,Flat,2,60,1,Upper,3,294.18,650
104111,Ostia,Flat,3,55,1,Ground floor,0,503.98,750
105745,Trastevere,Flat,2,45,1,Upper,2,216.25,850
104725,Montagnola,Flat,3,65,1,Upper,1,161.07,700
103882,Cinecittà,Flat,2,50,1,Upper,3,326.44,650
103269,Prati,Flat,2,65,0,Upper,5,506.36,1100
105548,Termini,Flat,2,60,0,Mezzanine,"0.5",496.82,1200
104314,Castelli Romani,Flat,2,45,1,Upper,2,243.69,450
103791,Parioli,Flat,3,75,1,Ground floor,0,329.15,1100
104795,Castelli Romani,Flat,3,70,1,Ground floor,0,333.92,450
103398,Cassia,Flat,4,130,1,Upper,3,621.98,1500
104947,Castelli Romani,Flat,2,55,1,Upper,1,262.73,400
104448,Parioli,Flat,3,90,1,Upper,4,559.20,1500
103186,Collatino,Flat,2,70,0,Upper,1,509.86,700
104297,Monti,Flat,2,35,1,Upper,3,235.40,800
104933,Cinecittà,Flat,4,85,1,Upper,4,408.18,1050
105623,Trastevere,Flat,3,80,1,Ground floor,0,323.52,1200
105381,Cinecittà,Flat,3,70,0,Upper,1,246.48,950
103026,Prati,Flat,2,75,1,Upper,4,452.52,1200
104271,Parioli,Flat,5,200,0,Upper,2,1030.03,2400
102139,Cinecittà,Flat,2,55,1,Upper,4,249.63,600
102344,Parioli,Flat,2,45,1,Ground floor,0,223.53,900
105890,Cassia,Flat,2,50,1,Upper,2,381.07,1000
102596,Marconi,Flat,3,100,1,Upper,1,413.80,1100
103370,Prati,Flat,3,80,0,Upper,1,608.44,1200
102090,Infernetto,Flat,2,70,0,Upper,1,184.59,650
102655,Parioli,Flat,3,60,1,Upper,1,276.12,1100
104973,Cinecittà,Flat,3,70,0,Ground floor,0,136.36,600
102480,Collatino,Flat,3,90,1,Upper,2,61.93,900
105462,Prati,Flat,2,55,0,Mezzanine,"0.5",190.98,1200
102552,Aventino,Flat,3,105,1,Upper,2,884.75,1750
103212,Collatino,Flat,3,70,1,Ground floor,0,518.97,700
104341,Aventino,Flat,2,45,0,Ground floor,0,298.85,950
104057,Parioli,Flat,3,80,1,Upper,4,469.38,1200
104427,Cinecittà,Flat,3,80,0,Upper,1,204.40,700
102383,Cassia,Flat,2,65,1,Upper,1,442.19,900
103224,Prati,Flat,2,45,1,Upper,1,304.88,900
105227,Castelli Romani,Flat,4,100,0,Upper,1,275.16,800
102104,Monte sacro,Flat,3,85,1,Upper,6,347.49,1000
104515,Montagnola,Flat,3,70,1,Ground floor,0,76.72,750
105271,Monte sacro,Flat,2,55,1,Ground floor,0,347.20,650
103382,Parioli,Flat,3,80,1,Upper,2,359.66,1300
104852,Castelli Romani,Flat,2,60,1,Upper,1,529.54,700
104653,Castelli Romani,Flat,2,60,1,Ground floor,0,398.67,600
103688,Piazza Navona,Flat,2,60,1,Upper,4,640.67,1500
102838,Monte sacro,Flat,3,65,1,Upper,5,10.00,750
105279,EUR,Flat,2,65,1,Upper,3,350.05,950
102088,Infernetto,Flat,2,50,1,Ground floor,0,305.04,500
104514,Castelli Romani,Flat,2,70,0,Upper,1,305.30,700
103668,Cinecittà,Flat,2,80,1,Upper,5,195.41,750
105047,Piazza Navona,Flat,2,45,0,Upper,2,704.36,1200
105205,Cinecittà,Flat,3,90,1,Upper,2,379.55,800
104597,Infernetto,Flat,2,85,0,Mezzanine,"0.5",246.26,750
103136,Infernetto,Flat,2,45,1,Ground floor,0,485.49,550
102004,Monte sacro,Flat,2,50,0,Upper,4,294.67,650
102474,Monte sacro,Flat,2,50,0,Ground floor,0,253.72,600
104252,Cinecittà,Flat,2,85,1,Upper,4,337.63,800
103868,Monti,Flat,2,70,1,Upper,2,683.46,1350
104493,Trigoria,Flat,2,45,0,Upper,1,262.00,550
102942,Montagnola,Flat,4,115,0,Upper,1,509.95,1250
104888,Cassia,Flat,5,125,0,Upper,3,648.22,1500
103490,Piazza Navona,Flat,3,85,1,Upper,1,964.43,1700
105157,Castelli Romani,Flat,3,75,1,Upper,1,283.90,750
102010,Castelli Romani,Flat,3,75,1,Upper,2,81.20,650
102336,Parioli,Flat,3,90,1,Upper,4,495.55,1450
103927,Collatino,Flat,3,60,1,Ground floor,0,186.32,650
104203,Termini,Flat,5,100,1,Upper,5,749.30,1500
103362,Monte sacro,Flat,3,70,1,Upper,2,417.64,750
104227,Termini,Flat,2,55,0,Upper,2,304.75,950
102806,Cassia,Flat,5,150,0,Upper,2,820.93,1850
104476,Piazza Navona,Flat,2,65,1,Upper,2,553.65,1450
102522,Cinecittà,Flat,2,65,1,Upper,5,84.46,700
103017,Castelli Romani,Flat,3,80,1,Upper,1,139.90,750
102992,Collatino,Flat,2,75,1,Upper,3,130.27,800
105358,Prati,Flat,3,85,1,Upper,3,491.40,1200
105522,Piazza Navona,Flat,2,80,1,Upper,2,888.89,1800
103332,Infernetto,Flat,3,50,1,Upper,1,216.42,600
104051,Prati,Flat,3,90,0,Upper,6,449.62,1300
104792,Piazza Navona,Flat,3,60,0,Upper,2,758.47,1600
103496,Castelli Romani,Flat,2,35,1,Upper,1,84.23,350
104712,Infernetto,Penthouse,4,110,1,Upper,2,102.72,950
105952,Marconi,Flat,3,100,1,Upper,8,357.22,1000
102980,Portuense,Flat,2,75,1,Upper,2,329.78,800
103278,Prati,Flat,3,70,1,Upper,5,376.47,1300
105143,Cinecittà,Flat,3,100,1,Upper,7,151.00,900
102953,Castelli Romani,Flat,4,70,0,Upper,1,173.98,700
105439,Trastevere,Flat,2,50,0,Upper,1,287.05,1200
103181,Parioli,Flat,3,95,1,Upper,1,524.49,1400
104091,Prati,Flat,3,90,0,Upper,1,582.70,1500
104348,Cassia,Flat,2,70,1,Mezzanine,"0.5",324.67,850
103478,Monti,Flat,2,80,1,Upper,2,617.80,1300
103734,Montagnola,Flat,2,70,1,Upper,2,286.72,800
103537,Castelli Romani,Penthouse,2,60,1,Upper,1,291.71,550
102937,Monti,Flat,3,75,0,Upper,6,615.53,1400
102357,Parioli,Flat,3,90,1,Upper,2,337.33,1350
104459,Trastevere,Flat,2,50,1,Upper,3,336.35,1000
102571,Monte sacro,Flat,3,65,1,Upper,3,157.10,800
102384,Piazza Navona,Flat,2,60,1,Upper,4,473.36,1500
105084,Cinecittà,Flat,3,75,0,Upper,1,266.56,700
104745,Trigoria,Flat,2,40,1,Ground floor,0,362.04,600
104014,EUR,Flat,3,100,1,Upper,3,533.87,1200
103879,Marconi,Flat,2,50,1,Upper,2,311.99,700
102355,Marconi,Flat,2,60,0,Upper,6,446.84,750
105327,Cassia,Flat,2,35,1,Upper,3,207.73,500
104979,Prati,Flat,4,100,1,Upper,3,478.02,1400
103842,Trastevere,Flat,2,50,0,Upper,1,309.67,1000
104431,Cinecittà,Flat,2,55,1,Mezzanine,"0.5",178.87,650
104926,Trastevere,Flat,2,75,1,Upper,1,274.13,1300
102337,Cassia,Flat,2,65,0,Upper,2,493.05,950
105884,Prati,Flat,4,115,1,Upper,3,596.27,1500
104238,Monte sacro,Flat,2,50,1,Ground floor,0,259.59,750
105557,Infernetto,Flat,2,35,1,Ground floor,0,165.80,550
104765,Piazza Navona,Flat,2,70,1,Upper,3,735.59,1700
105057,Prati,Penthouse,4,80,1,Upper,2,547.02,1500
105679,Piazza Navona,Flat,2,60,1,Upper,2,621.50,1300
105540,Cassia,Flat,2,90,0,Ground floor,0,310.08,1300
104218,Piazza Navona,Flat,3,75,0,Upper,3,756.01,1600
104255,Trastevere,Flat,2,65,1,Upper,1,467.49,1200
102594,Marconi,Flat,2,55,0,Upper,7,429.58,800
103477,Castelli Romani,Flat,2,35,0,Upper,1,367.01,350
103350,Parioli,Flat,4,85,0,Upper,4,649.35,1250
102201,Parioli,Flat,3,80,0,Upper,4,508.42,1300
105895,Piazza Navona,Flat,3,70,1,Mezzanine,"0.5",684.07,1800
103589,Prati,Flat,3,75,1,Upper,4,610.67,1150
104194,Collatino,Flat,2,70,0,Upper,1,145.95,750
105657,Trastevere,Flat,2,55,1,Ground floor,0,400.22,1000
103914,Cinecittà,Flat,3,90,0,Upper,5,265.33,900
101990,Collatino,Flat,2,75,1,Upper,3,312.11,800
105644,Montagnola,Flat,2,60,1,Upper,2,562.14,900
103453,Trigoria,Flat,2,50,0,Upper,1,311.58,600
105604,Cinecittà,Flat,2,75,0,Upper,5,318.68,750
105482,Monti,Flat,2,50,1,Mezzanine,"0.5",451.70,1200
102831,Infernetto,Flat,2,75,0,Upper,2,307.83,700
104616,Castelli Romani,Flat,3,80,0,Upper,1,409.69,850
103798,Piazza Navona,Flat,3,105,1,Upper,1,1010.63,2050
102169,Trigoria,Flat,2,55,1,Upper,3,138.00,650
102767,Parioli,Flat,2,50,1,Upper,1,248.45,900
105244,Monte sacro,Flat,3,65,1,Ground floor,0,279.60,750
104893,Piazza Navona,Flat,2,50,0,Upper,3,602.75,1300
104186,Cinecittà,Flat,2,60,0,Upper,1,327.63,750
102293,Prati,Flat,3,90,0,Upper,5,570.23,1450
102248,Cassia,Flat,2,45,0,Upper,2,46.30,750
103161,Monte sacro,Flat,2,80,1,Upper,1,159.50,850
105866,Piazza Navona,Flat,4,85,0,Upper,2,1084.04,2000
105192,Prati,Flat,3,85,1,Upper,2,399.63,1200
103367,Cinecittà,Flat,2,40,1,Ground floor,0,389.20,600
105064,Parioli,Flat,5,190,1,Upper,2,1138.87,2350
103820,Monte sacro,Flat,2,65,1,Upper,6,235.46,850
102783,Marconi,Penthouse,3,80,1,Upper,8,158.88,1000
104551,EUR,Flat,3,70,0,Upper,5,328.63,1000
103953,Cassia,Flat,3,70,1,Upper,1,246.55,900
102153,Cassia,Flat,2,85,1,Ground floor,0,265.81,1100
104816,Monti,Flat,3,85,0,Ground floor,0,491.94,1350
105648,Parioli,Flat,2,55,1,Upper,3,426.45,700
105615,Piazza Navona,Flat,2,50,1,Ground floor,0,665.60,1200
105324,Cinecittà,Flat,4,105,0,Upper,1,116.18,950
105378,Castelli Romani,Flat,2,50,0,Upper,1,199.42,600
105497,Piazza Navona,Flat,2,40,1,Upper,3,573.67,1500
104025,Prati,Flat,3,105,0,Ground floor,0,601.77,1400
103006,EUR,Flat,2,60,0,Upper,4,418.21,900
102424,Piazza Navona,Flat,4,125,0,Upper,3,1148.67,2350
103153,Parioli,Flat,3,80,1,Mezzanine,"0.5",464.62,1200
105229,Marconi,Flat,2,60,1,Upper,6,139.47,900
103519,Prati,Flat,2,65,1,Upper,1,344.29,1200
104361,Parioli,Flat,4,185,1,Upper,3,971.67,2200
102306,Testaccio,Flat,2,65,0,Upper,2,311.04,1050
102698,Infernetto,Flat,3,75,0,Upper,1,66.54,700
104807,Prati,Flat,3,85,1,Upper,3,382.20,1350
105491,Piazza Navona,Flat,3,85,1,Upper,2,761.72,1600
102467,Trigoria,Flat,2,50,0,Upper,5,107.77,650
104511,Prati,Flat,3,80,1,Upper,3,402.38,1200
103423,Prati,Flat,5,140,1,Upper,3,830.51,2000
102304,Marconi,Flat,3,75,0,Upper,3,366.79,900
103313,Magliana,Flat,2,75,1,Upper,1,191.87,700
102677,Cassia,Flat,2,45,1,Ground floor,0,121.35,700
103975,Castelli Romani,House,3,85,1,Upper,1,177.67,650
102433,Cinecittà,Flat,3,60,0,Upper,4,377.30,700
105132,Piazza Navona,Flat,3,90,1,Upper,3,1092.63,2000
104181,Cinecittà,Flat,4,85,1,Upper,3,389.11,850
105532,Piazza Navona,Flat,3,105,1,Upper,2,828.43,1800
102541,Testaccio,Flat,4,125,1,Upper,3,669.85,1700
105155,Cinecittà,Flat,3,100,0,Upper,2,398.00,900
102060,Infernetto,Flat,2,50,1,Ground floor,0,403.97,500
105390,Castelli Romani,Flat,2,35,1,Upper,1,433.27,450
103951,Prati,Flat,5,130,0,Upper,2,713.75,1950
102794,Prati,Flat,3,85,1,Upper,2,447.35,1400
104707,Prati,Flat,4,110,1,Upper,2,914.59,1500
102228,Infernetto,Flat,3,80,1,Mezzanine,"0.5",236.79,750
103765,Collatino,Flat,3,80,0,Ground floor,0,484.71,950
105592,Collatino,Penthouse,3,90,0,Upper,4,234.62,850
102745,Monti,Flat,3,85,1,Upper,1,693.52,1400
103454,Cinecittà,Flat,2,65,1,Upper,1,423.67,700
104063,Castelli Romani,Flat,3,100,1,Ground floor,0,89.56,750
102330,Trastevere,Flat,2,60,0,Upper,1,183.95,1200
103613,Monti,Flat,2,60,1,Upper,2,399.60,1050
102151,Collatino,Flat,2,65,0,Upper,1,121.49,700
104418,Cassia,Flat,2,55,0,Upper,1,231.07,700
102479,Ostia,Flat,2,65,0,Upper,3,381.22,650
103237,Cinecittà,Flat,3,70,0,Upper,2,381.23,700
101996,Castelli Romani,Flat,2,60,0,Upper,2,352.63,500
102611,Ostia,Flat,2,50,0,Upper,3,20.53,550
104130,Piazza Navona,Flat,2,95,1,Upper,2,837.38,1750
105625,Castelli Romani,Flat,3,115,1,Upper,2,149.50,850
104488,Ostia,Flat,2,45,1,Upper,2,160.40,650
105586,Monte sacro,Flat,3,90,1,Mezzanine,"0.5",394.76,850
102538,Prati,Flat,2,75,1,Upper,1,565.71,1200
102769,Monte sacro,Flat,2,70,0,Upper,3,306.79,750
103226,Magliana,Penthouse,2,70,1,Upper,3,321.61,700
102126,Collatino,Flat,2,65,1,Upper,9,241.25,700
105670,Trastevere,Flat,2,70,1,Upper,1,264.81,1100
105449,Piazza Navona,Flat,2,45,1,Upper,4,381.07,1200
105306,Cassia,Flat,2,70,0,Upper,3,365.94,850
103120,Parioli,Flat,5,90,1,Upper,1,491.86,1500
103309,Marconi,Flat,2,75,1,Upper,3,174.03,800
102682,Parioli,Flat,3,65,1,Upper,5,272.92,1200
105086,Trastevere,Flat,2,65,1,Upper,2,281.51,1100
103464,Marconi,Flat,3,105,1,Upper,3,384.79,1100
105555,Infernetto,Flat,2,35,1,Ground floor,0,192.09,500
104877,Collatino,Flat,6,95,1,Upper,7,678.24,1200
103959,Marconi,Flat,4,75,0,Upper,4,534.42,1000
105193,Castelli Romani,Flat,2,40,1,Upper,1,38.96,400
102287,Prati,Flat,2,45,0,Ground floor,0,539.71,1000
102626,Trastevere,Flat,3,60,1,Upper,1,467.27,1300
104437,Cassia,Flat,2,50,1,Upper,1,529.09,850
105829,Trigoria,Flat,2,35,1,Mezzanine,"0.5",157.47,600
103690,Monti,Flat,3,75,0,Upper,4,533.71,1300
104239,Collatino,Flat,2,55,1,Upper,1,327.66,700
104202,Marconi,Flat,3,70,1,Upper,4,419.27,800
104148,Collatino,Flat,2,30,1,Ground floor,0,337.30,450
102859,Castelli Romani,Flat,2,55,1,Upper,1,250.56,400
103135,Marconi,Flat,2,65,0,Upper,1,124.05,700
104349,Prati,Flat,2,40,1,Upper,5,207.51,750
105371,Marconi,Flat,4,120,0,Upper,4,376.90,1200
103627,Monti,Flat,2,55,0,Upper,3,409.89,1200
104738,Monti,Flat,2,55,0,Upper,1,365.82,1250
102325,Monte sacro,Flat,3,80,0,Upper,3,308.27,850
104281,Collatino,Flat,3,85,1,Upper,5,36.19,800
103413,Trigoria,Flat,2,50,0,Upper,4,217.02,650
105367,Parioli,Flat,4,100,1,Upper,3,481.40,1300
105002,Ostia,Flat,4,85,1,Upper,3,309.46,850
102140,Cinecittà,Flat,3,70,0,Ground floor,0,316.72,750
104672,Prati,Flat,4,105,1,Upper,1,740.07,1600
104913,Castelli Romani,Flat,3,60,1,Upper,2,253.56,700
102718,Prati,Flat,2,45,0,Mezzanine,"0.5",228.71,900
104846,Castelli Romani,Flat,3,80,1,Upper,1,586.50,800
104079,Monte sacro,Flat,3,90,1,Upper,1,349.39,850
105168,Cassia,Flat,2,40,1,Upper,1,393.61,450
102870,Parioli,Flat,4,100,1,Upper,3,644.56,1400
104581,Monte sacro,Flat,2,35,1,Upper,2,46.35,600
102439,Parioli,Flat,3,95,1,Upper,3,538.46,1400
102785,Cinecittà,Flat,3,65,1,Upper,1,221.18,700
104659,Trigoria,Flat,2,55,0,Upper,1,336.11,650
104673,Parioli,Flat,2,40,0,Ground floor,0,266.66,750
102902,EUR,Flat,2,65,1,Upper,1,257.90,850
104620,Cinecittà,Flat,2,55,1,Upper,5,413.04,650
105349,Prati,Flat,2,60,1,Upper,1,292.28,1000
105056,Prati,Flat,2,65,1,Ground floor,0,301.19,850
103193,Infernetto,Flat,2,60,1,Ground floor,0,246.18,600
104837,Termini,Flat,2,45,0,Upper,2,280.36,950
103584,Monte sacro,Flat,2,50,1,Ground floor,0,407.94,650
104708,Cinecittà,Flat,2,50,0,Upper,8,571.76,700
103814,Cinecittà,Flat,3,75,1,Upper,4,97.33,800
104952,Termini,Flat,4,70,1,Upper,4,448.38,1200
104524,Prati,Flat,4,120,1,Upper,3,843.25,1600
103511,Monte sacro,Flat,2,50,0,Ground floor,0,223.54,600
104788,Collatino,Flat,3,90,1,Ground floor,0,442.66,1000
105759,Infernetto,Flat,3,80,1,Upper,2,201.26,750
102320,Monte sacro,Flat,2,55,1,Ground floor,0,253.75,650
103956,Parioli,Flat,4,105,1,Upper,3,751.78,1650
105736,Monti,Flat,2,65,0,Upper,4,392.57,1000
104028,Termini,Flat,4,90,1,Upper,4,490.18,1400
103924,Montagnola,Flat,3,85,0,Upper,1,351.16,1050
104119,Collatino,Flat,2,50,1,Upper,1,217.67,600
103139,Monte sacro,Flat,3,80,1,Upper,7,437.35,1000
104978,Infernetto,Flat,2,75,1,Upper,1,322.14,550
102321,Prati,Flat,2,50,1,Upper,9,441.88,1000
102709,Termini,Flat,4,110,1,Upper,1,594.95,1500
102650,Cinecittà,Flat,5,90,0,Upper,1,435.16,1000
103984,Prati,Flat,3,90,1,Upper,1,575.15,1500
102435,Termini,Flat,2,75,1,Upper,2,491.46,1100
102575,Cinecittà,Flat,2,70,0,Upper,1,254.00,850
102808,Monte sacro,Penthouse,2,75,1,Upper,3,348.71,800
105618,Cassia,Penthouse,2,70,0,Upper,6,442.38,1200
105099,Piazza Navona,Flat,2,65,0,Upper,3,761.08,1400
102512,Collatino,Flat,3,100,1,Upper,5,497.95,1150
102676,Infernetto,Flat,2,65,1,Upper,1,457.44,600
